node_id,section_id,x,y,lon,lat
81,40,413326.81233765587,5593504.739471547,-4.221792805592243,50.48710679333426
82,41,413410.8196528317,5593266.139151664,-4.220553607403233,50.48497389920558
83,41,413487.20216867916,5593338.153013691,-4.219493852082173,50.485632677779876
84,42,413540.1161706176,5593065.456280035,-4.218685080861703,50.48318860051541
85,42,413632.302633149,5593118.93807108,-4.21739834514892,50.483683065093025
86,43,413540.9220452017,5592852.135368828,-4.2186243941960635,50.48127069420183
87,43,413651.48952419654,5592849.371181853,-4.21706570244138,50.48126214383384
88,44,413531.45878923114,5592603.784862715,-4.218700314505985,50.479036311481984
89,44,413654.242338475,5592616.861207045,-4.216973220200315,50.47917198824843
90,45,413527.2236887035,5592423.057217149,-4.21871819999899,50.47741071503429
91,45,413658.4053294365,5592387.768450484,-4.216861667009929,50.47711276471424
92,46,413520.2408079565,5592265.865447536,-4.2187802428836285,50.47599633027613
93,46,413595.84764099715,5592198.971658091,-4.217699499999756,50.47540602056506
94,47,413429.51861492096,5592154.719088368,-4.220032778704699,50.47498358978135
95,47,413493.9376089524,5592051.998606594,-4.219101387722083,50.47406951271559
96,48,413213.44546236173,5592040.20885018,-4.223050578855695,50.47392204380086
97,48,413305.34148416895,5591922.722789714,-4.221728606924575,50.472879294259265
98,49,413007.6032028624,5591903.70093956,-4.225918985455697,50.47266415207843
99,49,413092.4049482215,5591768.10765548,-4.224692727959073,50.47145757653922
100,50,412782.78045450145,5591793.962905898,-4.229060885480719,50.47164406137441
101,50,412890.59600438114,5591634.80661798,-4.227504867258062,50.470229078370906
102,51,412580.9486167057,5591649.455151869,-4.23187062464865,50.470314692727705
103,51,412695.6783840062,5591494.661021384,-4.230218180110909,50.46893999822511
104,52,412377.23339196446,5591509.883376992,-4.234707894170568,50.469029356128495
105,52,412498.77869152615,5591358.290130323,-4.2329601496190135,50.467684499069584
106,53,412190.52486773755,5591330.490305286,-4.237296086034391,50.46738845634413
107,53,412311.75846245495,5591229.589388928,-4.2355645994635,50.466499377896916
108,54,412051.1638274091,5591109.551352104,-4.239207365343001,50.46538105577822
109,54,412208.2842393827,5591040.577361729,-4.236977893092553,50.464784442024424
110,55,411988.15989345254,5590856.756765963,-4.240035427819119,50.46309866928432
111,55,412161.60491728556,5590839.164484974,-4.237588167215898,50.46296650103065
112,56,411993.9608921914,5590591.699455386,-4.2398913963497895,50.460716349620405
113,56,412164.7976809128,5590638.315803097,-4.237496062885153,50.46116110169231
114,57,412085.83955917344,5590351.447697889,-4.238540845777592,50.458569971173574
115,57,412237.91358621203,5590427.484711409,-4.236416772320167,50.45927641571356
116,58,412238.21701567847,5590139.253462912,-4.236344933950548,50.45668490341671
117,58,412370.5839211928,5590265.751884932,-4.23451028146958,50.457842074732504
118,59,412450.7206944111,5590038.523374126,-4.23332847233806,50.45581097322309
119,59,412487.9965160849,5590180.2729272945,-4.232836618165111,50.45709104318796
120,60,412723.4583574725,5589948.274076941,-4.229466256080544,50.45504016551925
121,60,412684.07230162155,5590164.897384122,-4.230071467548032,50.45698202197887
122,61,412923.1056976851,5590135.45824798,-4.22669803734489,50.45675286479308
123,61,412835.5433241432,5590236.246137867,-4.22795473735092,50.45764606945789
124,62,413074.15100852464,5590295.96102471,-4.2246079643253625,50.45821839731078
125,62,412889.320439356,5590346.625241639,-4.227223003870569,50.45864650849157
126,63,413111.5668597239,5590495.061411919,-4.224127189225363,50.46001411011005
127,63,412862.9547163796,5590472.271965446,-4.227623601226871,50.45977231553112
128,64,413095.51003146527,5590589.518015342,-4.2243752792843345,50.4608610167281
129,64,412870.25503859256,5590626.905699726,-4.227556768235318,50.461163754004104
130,65,413110.8646564012,5590719.523582202,-4.224189182102471,50.46203220857173
131,65,412884.3257171707,5590802.059103826,-4.227399341977116,50.4627406958756
132,66,413134.4351059068,5590883.154484377,-4.223895151993005,50.463506951886615
133,66,412944.31162256637,5591025.266366255,-4.226606306658938,50.46475652128318
134,67,413158.45419408847,5591028.211196271,-4.223590474579398,50.46481475497884
135,67,413031.81504932564,5591158.704575875,-4.225404701454063,50.46596928592378
136,68,413252.55486883374,5591167.710605746,-4.222297260695216,50.46608296311824
137,68,413154.81414307066,5591323.297499504,-4.223710230957754,50.467467417920496
